Date,Optimized Regime Strategy,Basic Regime (upper bound),60/40 Benchmark,S&P 500,Nasdaq 100 (QQQ),All Weather
2014-08-06,3.833505024270412,2.8913180608002222,1.8569770568626682,1.9346861122153385,2.567196535567527,1.9022213488204778
2014-08-07,3.8139808333581713,2.879107083686048,1.852373058039711,1.9242102621007233,2.5590489123211504,1.908382004093308
2014-08-08,3.8553189454646137,2.900623220176892,1.8655024245094451,1.9464716320359647,2.5775174944888475,1.9124452713086717
2014-08-11,3.876419849700468,2.9124896346089773,1.8688135999770183,1.9521118800892916,2.5927276635005705,1.9138691303358595
2014-08-12,3.870998491600053,2.9104232401710473,1.8669101865226987,1.9493924781428962,2.591640768469321,1.9068123223979867
2014-08-13,3.912912589526989,2.931360411634483,1.875994704366471,1.9625875417622223,2.619073053931941,1.91672904788001
2014-08-14,3.934255553461488,2.9412243515538696,1.8817207724814198,1.9718545384719366,2.63265288039679,1.9246059442303258
2014-08-15,3.9522973179483754,2.9505836782945147,1.8833437826024406,1.9714516501508643,2.645419125944644,1.933677316232711
2014-08-18,3.9787073832764146,2.9639037966176685,1.8912357583741661,1.987971013523247,2.66578863844814,1.9281159001805388
2014-08-19,4.001735452527427,2.9760735187102005,1.8961235302919515,1.9983466126618046,2.680726856508273,1.9284164061613829
2014-08-20,4.008583617140375,2.9812379238276883,1.8983310739298986,2.0036847886951694,2.680726856508273,1.927717224803111
2014-08-21,4.017903760377837,2.9847795649165154,1.9029714596918286,2.009527423117454,2.6861595141143004,1.9331250106412678
2014-08-22,4.019369976179453,2.986165374721707,1.9010582463077634,2.0064047559666176,2.690233325737488,1.936693717284806
2014-08-25,4.030887570363704,2.990083544756111,1.907466761863375,2.0165777802945333,2.699739567772927,1.9424709657720958
2014-08-26,4.035833414555322,2.992980864933941,1.9082793079178313,2.017887638442229,2.702455669382163,1.9410685695192806
2014-08-27,4.039745387610412,2.9945572504863875,1.9087966118661643,2.0170818618000843,2.7029984353164553,1.9484584469657247
2014-08-28,4.043298278821924,2.997051278224727,1.9096968966501449,2.0159732593712407,2.700010382755629,1.9535335638661406
2014-08-29,4.061081383677301,3.0067494471620373,1.9126830600895603,2.021715265934099,2.710060072306692,1.9558850413851532
2014-09-02,4.0459167769314694,2.999359707195718,1.9097762749535752,2.0207074798063656,2.717937107764143,1.935494958690749
2014-09-03,4.03953704592251,2.996866887349009,1.9099855794241605,2.019599631144259,2.7019124490603152,1.941090743738109
2014-09-04,4.030980887242587,2.994181418725663,1.9073523688211265,2.0166785965956433,2.6994673896275594,1.9283691562517302
2014-09-05,4.057636153686447,3.0085301177391566,1.9120785505188111,2.02574452602819,2.713048124867518,1.9300462894060335
2014-09-08,4.05222968312803,3.006260382079806,1.908342676332309,2.0205062240875136,2.718209058715732,1.9262931590944872
2014-09-09,4.015373886267885,2.988273939326409,1.900044580919279,2.0077132950225227,2.695666210537292,1.9203557283489223
2014-09-10,4.03166456429455,2.9961796784238617,1.9032902127520759,2.015268299030206,2.7179371077641425,1.9152190617493772
2014-09-11,4.0296828955842106,2.995616011885572,1.9038347989806246,2.0175855664222664,2.7157639992829763,1.9113279681771838
2014-09-12,3.9906484963771085,2.975559643906073,1.8956223560747234,2.005799858159956,2.701912449060315,1.8964457394000476
2014-09-15,3.963961345516454,2.9601812665496983,1.894626125801681,2.004289309618462,2.6758385551929793,1.8981719458708055
2014-09-16,4.007728664553325,2.9842206652642,1.9031956634537928,2.019398563867092,2.6991965746448563,1.9008463438630747
2014-09-17,4.010867101198983,2.9870219004722562,1.9038928339518448,2.022118342696856,2.7032701590742665,1.8968046861092664
2014-09-18,4.047074408388026,3.0073329115027896,1.9100512267200729,2.0328958879480648,2.723640353159095,1.9009913510805438
2014-09-19,4.034894444934291,2.997737197253556,1.9102863308547438,2.0310644232181767,2.7219529849740853,1.9099820623220076
2014-09-22,3.9948572769731654,2.976236954995697,1.9024893437277834,2.015378537415533,2.696632692866502,1.9055985398965778
2014-09-23,3.9823038222272893,2.9700564116676893,1.8966538258680428,2.0038415721765226,2.689282065391368,1.9085698520929018
2014-09-24,4.02071236624388,2.990820690929388,1.905074115068812,2.0195270810957973,2.718141809357612,1.907957031597461
2014-09-25,3.944327217740778,2.950975006709165,1.8881011755844586,1.986941368160133,2.6609682680722995,1.9092616722376679
2014-09-26,3.9832128697621405,2.9718904117717653,1.8970329291779544,2.002729200913992,2.689282065391368,1.9114414964804836
2014-09-29,3.981874502458547,2.9707958727324306,1.8957971838462013,1.999085304064332,2.685743749501594,1.918260896030104
2014-09-30,3.9686154293357805,2.962932461450558,1.8923164621645008,1.993822881588063,2.68955469792429,1.9086607531898827
